2026-09-02 12:51:24 | INFO     | reporting |   Weighted Precision : 0.4781
2026-09-02 12:51:24 | INFO     | reporting |   Weighted Recall    : 0.5805
2026-09-02 12:51:24 | INFO     | reporting |   Weighted F1        : 0.5109
2026-09-02 12:51:24 | INFO     | reporting |   MAE                : 0.5829
2026-09-02 12:51:24 | INFO     | reporting |   QWK                : 0.6697
2026-09-02 12:51:24 | INFO     | reporting |   KL0 Recall         : 0.8735
2026-09-02 12:51:24 | INFO     | reporting |   KL1 Recall         : 0.0000
2026-09-02 12:51:24 | INFO     | reporting |   KL1 F1             : 0.0000
2026-09-02 12:51:24 | INFO     | reporting |   KL2 Recall         : 0.6102
2026-09-02 12:51:24 | INFO     | reporting |   Boundary Error Counts:
2026-09-02 12:51:24 | INFO     | reporting |     KL1 -> KL0       : 698
2026-09-02 12:51:24 | INFO     | reporting |     KL1 -> KL2       : 310
2026-09-02 12:51:24 | INFO     | reporting |     KL0 -> KL1       : 0
2026-09-02 12:51:24 | INFO     | reporting |     KL2 -> KL1       : 0
2026-09-02 12:51:24 | INFO     | reporting |   FGBF Diagnostics (Auxiliary Head):
2026-09-02 12:51:24 | INFO     | reporting |     FGBF Low-Grade Acc : 0.6385
2026-09-02 12:51:24 | INFO     | reporting |     KL0 Prec/Rec/F1    : 0.6406 / 0.8770 / 0.7403
2026-09-02 12:51:24 | INFO     | reporting |     KL1 Prec/Rec/F1    : 0.3853 / 0.0402 / 0.0727
2026-09-02 12:51:24 | INFO     | reporting |     KL2 Prec/Rec/F1    : 0.6516 / 0.6920 / 0.6711
2026-09-02 12:51:24 | INFO     | reporting |     FGBF Boundary Errors:
2026-09-02 12:51:24 | INFO     | reporting |       KL1 -> KL0       : 694
2026-09-02 12:51:24 | INFO     | reporting |       KL1 -> KL2       : 310
2026-09-02 12:51:24 | INFO     | reporting |   ------------------------------------------------
2026-09-02 12:51:24 | INFO     | reporting | VALIDATION
2026-09-02 12:51:24 | INFO     | reporting |   Overall Accuracy   : 0.5896
2026-09-02 12:51:24 | INFO     | reporting |   Macro Precision    : 0.5471
